repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
eclipse-openj9/openj9,https://github.com/eclipse-openj9/openj9,3463,Java,2,1.0303935185185185,2.0
cloudflare/workers-sdk,https://github.com/cloudflare/workers-sdk,3451,TypeScript,2,231.82880787037038,14.5
iree-org/iree,https://github.com/iree-org/iree,3357,C++,2,11.07160300925926,5.0
kuzudb/kuzu,https://github.com/kuzudb/kuzu,3319,C++,2,69.74511574074073,0.0
microsoft/ebpf-for-windows,https://github.com/microsoft/ebpf-for-windows,3306,C,2,37.455607638888885,2.0
ember-cli/ember-cli,https://github.com/ember-cli/ember-cli,3249,JavaScript,2,144.84639467592592,7.0
rathena/rathena,https://github.com/rathena/rathena,3188,C++,2,0.7231944444444445,1.5
apecloud/kubeblocks,https://github.com/apecloud/kubeblocks,2840,Go,2,25.52097800925926,0.0
arduino/arduino-ide,https://github.com/arduino/arduino-ide,2774,TypeScript,2,6.938559027777778,3.0
iterative/datachain,https://github.com/iterative/datachain,2671,Python,2,15.938796296296296,5.0
pymodbus-dev/pymodbus,https://github.com/pymodbus-dev/pymodbus,2545,Python,2,6.610648148148147,2.5
IBM/mcp-context-forge,https://github.com/IBM/mcp-context-forge,2529,Python,2,21.59193287037037,1.0
elastic/detection-rules,https://github.com/elastic/detection-rules,2412,Python,2,175.06567129629627,1.0
scalameta/metals,https://github.com/scalameta/metals,2241,Scala,2,80.30335648148147,1.5
Shelf-nu/shelf.nu,https://github.com/Shelf-nu/shelf.nu,2224,TypeScript,2,8.542216435185185,17.0
psycopg/psycopg,https://github.com/psycopg/psycopg,2108,Python,2,84.6391087962963,8.0
man-group/ArcticDB,https://github.com/man-group/ArcticDB,2064,C++,2,92.41377314814815,1.5
sagemath/sage,https://github.com/sagemath/sage,1970,Python,2,230.9083101851852,1.5
selenide/selenide,https://github.com/selenide/selenide,1892,Java,2,31.191400462962964,4.5
tgstation/tgstation,https://github.com/tgstation/tgstation,1841,DM,2,41.076846064814816,1.5
pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,1701,Python,2,927.7505844907408,4.5
ipfs/ipfs-webui,https://github.com/ipfs/ipfs-webui,1614,JavaScript,2,5.603489583333333,0.0
Dart-Code/Dart-Code,https://github.com/Dart-Code/Dart-Code,1566,TypeScript,2,7.292476851851852,8.5
intel/cve-bin-tool,https://github.com/intel/cve-bin-tool,1506,Python,2,48.91203703703704,2.0
getkirby/kirby,https://github.com/getkirby/kirby,1431,PHP,2,101.06912037037037,14.5
pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,1373,Python,2,18.56867476851852,3.0
lightningdevkit/rust-lightning,https://github.com/lightningdevkit/rust-lightning,1299,Rust,2,1076.4581770833333,8.5
bUnit-dev/bUnit,https://github.com/bUnit-dev/bUnit,1248,C#,2,40.79972222222222,41.5
fraunhoferhhi/vvenc,https://github.com/fraunhoferhhi/vvenc,1101,C++,2,3.6189988425925925,9.5
bitcoindevkit/bdk,https://github.com/bitcoindevkit/bdk,981,Rust,2,398.19982060185185,14.0
sourcefrog/cargo-mutants,https://github.com/sourcefrog/cargo-mutants,975,Rust,2,115.81626157407408,4.0
